comment_id,parent_id,author,text,likes,is_reply,video_id,video_title,provocatiStimulusveness
Ugw1PXuZE5P6wtyjgpR4AaABAg,,@빌드업장인-h5l,한국대사관 : 지금은 퇴근해야 되서요 내일 오세요ㅎ,23583,False,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB1ZGc5Wblo,Ugw1PXuZE5P6wtyjgpR4AaABAg,@kevinbrown6107,ㅋㅋㅋ 맞음,777,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB1kl5l4Y0W,Ugw1PXuZE5P6wtyjgpR4AaABAg,@dungo0926,정말 그런거 같아요😢,467,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB1scLFLSB2,Ugw1PXuZE5P6wtyjgpR4AaABAg,@유라-b6b,애초에 한국 대사관들은 아주 높으신 자제분들 공무원자리 돌려먹는 곳인데,1075,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB1tIKTZ_n7,Ugw1PXuZE5P6wtyjgpR4AaABAg,@jakekim8973,그것도 아님. 이미 퇴근했음 ㅋㅋㅋ,612,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB22QsumD46,Ugw1PXuZE5P6wtyjgpR4AaABAg,@usicgoon,오라고 안함 퇴근시간이니까 내일 다시 전화하라고 하지,489,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB24xdhbu2P,Ugw1PXuZE5P6wtyjgpR4AaABAg,@조선제일궁,이게 다 친일파 척결을 안한 결과 자국민을 우숩게 아는 그것들이 정치하게 되어 그런겁니다.거슬러 올라가면 이순신 장군이  선조 대가리 잘랐어야 됐는데  너무 충직하셔서  종자 개량을 못했죠.,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB26ZfS2PP0,Ugw1PXuZE5P6wtyjgpR4AaABAg,@yunkyungkim8465,=_=,10,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2OXBGKYxN,Ugw1PXuZE5P6wtyjgpR4AaABAg,@jjoongu7025,괜히 일본대사관 가라는 말이 있는게 아님...,331,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2YIRSMDnl,Ugw1PXuZE5P6wtyjgpR4AaABAg,@꽁냥qr,ㅋㅋㅋㅋㅋㅋㅋㅋ,34,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2fTB9HDaO,Ugw1PXuZE5P6wtyjgpR4AaABAg,@charm_27,@@dungo0926 정말 그랬습니다....,119,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2kH2yAUNu,Ugw1PXuZE5P6wtyjgpR4AaABAg,@쇼군-i2e,???: 제가 국군 포로인데요.. 탈북을해서<br>대사관 여자 외교관 : 그래서 어쩌라고요 내일 전화하세요,509,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2mvTTKfax,Ugw1PXuZE5P6wtyjgpR4AaABAg,@배고프다-p2n,출근도 안했...,46,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2ndMzQlPA,Ugw1PXuZE5P6wtyjgpR4AaABAg,@hóngshāoròu-x2p,중국대사관보다 못한 괴뢰조선 대사관 ㅋ,28,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2oPHCTZS7,Ugw1PXuZE5P6wtyjgpR4AaABAg,@merong_mong,만날 담당자 자리없대 ㅅㅂ,39,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2qmX0KL4e,Ugw1PXuZE5P6wtyjgpR4AaABAg,@올리브-h3z,중국대사관: 저새끼 쏘고 문잠가,52,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2r3veZvxm,Ugw1PXuZE5P6wtyjgpR4AaABAg,@user-16180,"@@dungo0926 그런 것 같은 게 아니라 실화입니다,,,",126,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2uHsGSl8v,Ugw1PXuZE5P6wtyjgpR4AaABAg,@castiel7536,ㅇㄱㄹㅇ,6,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB2wyx7CGL9,Ugw1PXuZE5P6wtyjgpR4AaABAg,@카미카재,돼서요,7,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB313hu_vnz,Ugw1PXuZE5P6wtyjgpR4AaABAg,@빅맥세트-w9s,심지어 5시 반이었다....,38,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB31lss57Ou,Ugw1PXuZE5P6wtyjgpR4AaABAg,@달려들어,아 댓글보고 웃으면서 운다 ㅋㅋㅋㅋㅋㅋ,14,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB33JHJmDt8,Ugw1PXuZE5P6wtyjgpR4AaABAg,@주머니-v4g,시발 ㅋㅋㅋ,2,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB33KzcM91R,Ugw1PXuZE5P6wtyjgpR4AaABAg,@justdoit_always,말레이시아에서 뺑소니 당해서<br>한국에 있는 말레이시아 대사관 전화하니<br>말레이시아에 있는 한국 대사관에 전화하래서<br>전화했더니 또 한국 말레이시아 대사관에 전화하래<br>싯빵색기들😢😢,37,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB340giaGJO,Ugw1PXuZE5P6wtyjgpR4AaABAg,@ChunSik262,@@justdoit_always 그럴때는 일본대사관 가야함. 일처리가 빨라서 인도적으로 도와줄 가능성이 제일 높음,54,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB35BlTROnf,Ugw1PXuZE5P6wtyjgpR4AaABAg,@ky10_,그리스 한국대사관 토요일 저녁9시에 나때문에 출근함..ㅠ 너무고마웠음,49,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3A7vHb51F,Ugw1PXuZE5P6wtyjgpR4AaABAg,@TV-oc6jp,@@ky10_일반인이세요?? 직업이 뭐죠??,14,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3AtOFqAYr,Ugw1PXuZE5P6wtyjgpR4AaABAg,@누꼬-c9q,외교관 물갈이 안하면 반복됨  지들 자식 돌려막기라  썩을대로 썩은곳이  외교관임<br>핑계는 인맥이라는데<br>직원들은 인맥이 필요없어 씨부랄<br>그냥 외국살던 지자식들 돌려막기하니 이사단 난거임,17,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3B8y-v8T8,Ugw1PXuZE5P6wtyjgpR4AaABAg,@lsh976,와~~~정답이네요 ㅋㅋㅋ,6,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3H-wA6slD,Ugw1PXuZE5P6wtyjgpR4AaABAg,@moosungmoon8912,무능의 극치!!!!!,11,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3P-pd-woR,Ugw1PXuZE5P6wtyjgpR4AaABAg,@sarahjeong2486,맞아요. 점심시간이 몇 시까지였더라? 왜 그걸 대사관에 묻나요? 어학원에 물어보세요. 다시 전화했더니 아무도 받지 않았어요. 5시였던것으로 기억합니다,25,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3PIcANCNI,Ugw1PXuZE5P6wtyjgpR4AaABAg,@sarahjeong2486,어학원에서는 비자 관련은 우리쪽은 모르니 대사관에 <br>문의해야한다고 하고(상식적으로도 그렇게 생각함) 점심시간이 두 시간이었나? 겨우 전화 연결이 됐는데 왜 그걸 우리한테 물어보냐는 말에 완전 ㅜㅜ 우리나라 국민을 위한 대사관이 아니더라구요 전~~혀 ㅜㅜ,38,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3RUd0I9Yz,Ugw1PXuZE5P6wtyjgpR4AaABAg,@1choi906,​@@dungo0926 슬프지만 현실이었습니다,6,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3SZVfoy_v,Ugw1PXuZE5P6wtyjgpR4AaABAg,@kyleCSKIM,벨기에 브뤼셀에서 실제로 겪음.,11,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3VUgZGevM,Ugw1PXuZE5P6wtyjgpR4AaABAg,@creat.our.ecosystem,돼,1,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3XJmjMV05,Ugw1PXuZE5P6wtyjgpR4AaABAg,@편견없는식욕,@@creat.our.ecosystem 껒2ㅕ,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3YSRCSisy,Ugw1PXuZE5P6wtyjgpR4AaABAg,@아싸라비야깐따삐야,다들 봤네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3YobYVngB,Ugw1PXuZE5P6wtyjgpR4AaABAg,@김찰리-v1g,한국 대사관 특 :  그 나라 외국어도 못함,28,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3_6goTbX5,Ugw1PXuZE5P6wtyjgpR4AaABAg,@알수없음-l4t,한국 대사관 개쓰레기인거 국군포로 할부지 덕에 알게됨. 오죽하면 일본 대사관으로 가라는말.. 나라가 국민을 친일파 만드는 행위임. 창피해 해야됨,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3dM4jgF0k,Ugw1PXuZE5P6wtyjgpR4AaABAg,@이또깡-t7z,되서요가 아니라 돼서요다 무식아;ㅉ,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3dPisdpML,Ugw1PXuZE5P6wtyjgpR4AaABAg,@ddalgione1788,출근은 하나요?,2,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
