video_id,title,channel,topic
Ox29z5Nf1Uk,"[#2024MAMA] G-DRAGON - 무제(Untitled, 2014)+POWER+HOME SWEET HOME+뱅뱅뱅+FANTASTIC BABY | Mnet 241123 방송",Mnet K-POP,기타
dgGqD28J6aQ,"[#2024MAMA] ROSÉ (로제), Bruno Mars - APT. | Mnet 241122 방송",Mnet K-POP,기타
FrzrNV20KbQ,[아형✪하이라이트] ✨내 아내는 나 말고 다른 남자를 몰라✨ 신랑 민경훈이 신부에게 직접 전하는 달콤한 세레나데❤️ | 아는 형님 | JTBC 241123 방송,아는형님 Knowingbros,게임
VtX6jD5BDPY,총합 117개 마인크래프트 모든 발전과제 달성하기,코마,게임
pZ1NdE69VTs,ROSÉ - number one girl (official music video),ROSÉ,기타
fLi0EJfi_vg,G-DRAGON - HOME SWEET HOME (Official Audio) (feat. TAEYANG & DAESUNG),OfficialGDRAGON,음악
ALl7Fe_GG3U,[SUB] 변우석의 웃으면 안되는 생일파티,유병재,기타
758qMZHRFxk,"'맨시티 킬러' 손흥민, 4호 도움으로 5연패 안겼다 #SPOTIME",스포타임,기타
dFO5O_jxUTk,야노시호 집에 셋방 살이하는 추성훈,추성훈 ChooSungHoon,기타
CUyBA_rWAUA,[#유퀴즈온더블럭] 8년 만에 〈또 오해영〉의 대사를 온전히 이해하게 된 서현진💦 그녀가 갑자기 얻게 된 인기를 즐기지 못했던 이유💬,디글 클래식 :Diggle Classic,기타
hJJmjq-q5_I,임영웅 IM HERO THE STADIUM '별빛같은 나의 사랑아' | 임영웅 리사이틀(RE:CITAL) Ticket Open 기념,임영웅,기타
9W-ohngCeKc,뉴비 자취생 인사 올립니다..🙇🏻‍♀️ 자취 복층 로망 실현!!🏡 패션 전공 대학생의 감성을 그득~ 담은 서울 10평 오피스텔 룸투어🍄🪽 Roomtour °｡⋆ *☆,유정 YUJEONG,기타
Lgrvv0xr78U,정선아 – Popular | 박혜나 – Defying Gravity | 영화 '위키드' OST | dingo live | 딩고뮤직 | Dingo Music,딩고 뮤직 / dingo music,음악
F78rkfVQYos,쉬러왔더니…극J가 마주한 극P의 신세계…🔥,LeoJ Makeup,자동차/교통
FgLzIZyBzyw,"[속보] ""오해원 나가!!""해서 시즌3 MC로 나가...ㅣ워크돌ㅣ엔믹스 해원",워크맨-Workman,기타
iN2GAFCwuik,수능 브이로그,와코,자동차/교통
j1g-9kkDokQ,인생 첫 시부야 스카이,유우키의 일본이야기 YUUKI,기타
bxLBhhR9ioU,첫 만남부터 사랑에 빠진 성준💘 이하늬 앞에선 도른 눈깔 대신 멜로 눈깔 장착! #습드첵 #열혈사제2 #TheFieryPriest2 #sbsdrama,SBS Drama,엔터테인먼트
lHIQL0DFZFg,여보 그거 딸 용돈이잖아...,김아내,기타
DKuAemfEVn4,[Ep.15] 웃겨 죽을 거 같으니까 ㅣ 제발로 출연한 조회수 치트키 [조동아리 15회],조동아리,기타
ujjtayU0cm8,디저트카페 폐업 브이로그,고요비koyobi,기타
hjDhFQ46sM8,"[나 혼자 산다 선공개] 초반부터 올리는 속도?! 러너들 사이를 뚫고 전진하는 기안84🏃, MBC 241122 방송",나혼자산다 STUDIO,교육
5CulDrUl5Sk,"""가을 석박지"" 이렇게 담그면 3번 리필합니다",김대석 셰프TV,기타
S2sXG6v5dSA,"아삭하고 시원하게! 복잡함은 빼고, 쉽게 끝내는 3포기 김치 대성공🥇",딸을 위한 레시피 Recipes for daughters,자동차/교통
dbmBJL7Se9o,해저드 소개 영상 | 오버워치 2,오버워치,게임
Wn0_PUn8NxE,"(ENG) 태연X키ㅣ오늘 낮술 하려고 어제 회식 안 갔잖아~ 그럼..동엽신 혼자 간거야? ㅣ 오해 많은 태연, 상처 잘 받는 키 [나래식] EP.10",나래식,기타
6EQQMyKx10w,[알렉스 페레이라] 불합리한 신입 관원 l GO TO THE ZOMBIE GYM,정찬성 Korean Zombie,게임
zrpyqd2qi4I,한아름송이🩷이민석 랜선 결혼식 vlog ! 준비부터 후기까지 ~(ENG),areumsongee아름송이,기타
NHg2e9mwO3I,[2026 FIFA 북중미 월드컵 아시아 3차 예선] 팔레스타인 vs 대한민국 풀 하이라이트,쿠팡플레이 스포츠,자동차/교통
wkeTt1b-e4c,[농부왕 기안84] 농부왕의 결실,농협 공식 유튜브 채널,기타
g7pMe5voWuI,2.7 버전 「여덟째 날에 오르는 여정」 프리뷰 스페셜 프로그램 | 〈붕괴: 스타레일〉,붕괴: 스타레일,기타
Yc4gp6oeN7k,Skrr (feat. GISELLE),HAON - Topic,기타
he9dQBabpjs,[Alex Pereira] 알렉스 페레이라가 회원님 입니다,김강민_Kim Kang min,기타
NZZ49Trcr4c,𝟮𝟬𝟮𝟱 𝗡𝗦 𝗥𝗲𝗱𝗙𝗼𝗿𝗰𝗲 𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟 #𝟰,NS RedForce,기타
q0YCVSxbcVg,점심시간,숏박스,엔터테인먼트
nUM8JMDS9JY,전설의 활 만들기,사나고 Sanago,기타
5aZF7A8kht4,※역대급 주객전도※ 미미미누 삼키다 못해 소화까지 한 엔시티 드림(NCT DREAM) 자컨 찍고 가다. | 인기인가요 시즌2 EP.35,모비딕 Mobidic,음악
OyBO0nLrrq0,TAEYEON 태연 'Letter To Myself' Live Clip,TAEYEON Official,기타
adxKdivxgok,Top British Chefs try Korean BBQ for the first time!,영국남자 Korean Englishman,기타
8d2U3CQRwgo,BTS 광팬인 외국인 고모와 이쁜 동생이 지구 반대편에서 20시간을 날아왔어요! (feat. 한국 편의점에 놀라 버린 외국인가족),까밀라댁 Kamila,기타
JWBy5H4aLlg,"김장김치 맛있게 담그는법~! 총 40분 풀영상 (물없이 하는 수육, 김장담그기) korean kimchi recipe / how to make korean kimchi",손맛할머니 sonmat,기타
y0XSTBBFcOg,레진으로 깍두기 담그는 여자,몽중다과Mongsweets,기타
NfiiJwDQZSg,이게 비싼거라구요..?,릴파 lilpa,기타
5ZXTHyu7hUo,🔥더 뜨겁게 돌아온 연애상담🌶️🔥 with 종지부부 은지님,아옳이,기타
aFz40A0UeC4,저 좀 쉴게요.,LeoJ Makeup,자동차/교통
7syMYZC0uFo,홍소육 : 전세계에서 가장 많이 먹는 삼겹살 요리! 저는 이게 동파육보다 맛있습니다. (상하이 정통 레시피),육식맨 YOOXICMAN,게임
PKkUyTMx8eg,[먹방브이로그#105] 살빼조는 사실 유명한 국밥 아티스트임🍲 추운 날씨에 몰아보기 딱 좋은 국밥 먹방 모음집😋♨️,살빼조DietJo,기타
_cPNeVJQWkI,구독자수 관련해 유튜브에서 메일이 왔습니다,보겸s,기타
sMvXHYA5rCk,제육볶음,웃고리즘,엔터테인먼트
7Ix4sxLx_pk,더디어 옷장이 터지기 시작한 쇼핑중독자의 집,원지의하루,뉴스/정치
V1l1MMVmrjM,"[EN/JP] 제 1회 지코 주주총회 | 이용진, 선미, 도경수, 전소연, 우태운, 블락비(재효, 유권, 피오), 보이넥스트도어(명재현, 태산, 운학)",df 디에프,기타
rJNA7ZCk9GI,[UFC] 존 존스 vs 스티페 미오치치,tvN SPORTS,기타
FGXyvxzn-X8,어쿠스틱 버전으로 새롭게 탄생한 베이비몬스터(BABYMONSTER) 파리타(PHARITA)·아현(AHYEON)의 'LIKE THAT'♬ ｜비긴어게인 오픈마이크,Beginagain 비긴어게인,기타
ZY3JL06NM7Y,[VLOG] 단합 잘 되는 우리 가족‼ | 한적한 곳에서 시골살이 1박2일(with 남친 패밀리),지유롭게,기타
cDORC9-FyWQ,인생 처음 한복 입고 서울 나들이 도중 갑자기 한국에서 살고 싶다는 외국인 처형 (feat.호롱각),예나러브 [Jun & Yena],기타
rmg-uEnAEFY,논나의 한남동 대저택 방문기 (feat. 에밀리아 가토 이탈리아 대사),밀라논나 Milanonna,기타
Gk1-0lDQlXY,물가가 가장 비싼 나라... 세상에서 가장 싼 미슐랭 1스타,잡재홍,교육
9GI84QVnnjk,[아형✪하이라이트] 서울대 미만은 다..?! 연고 VS 고연 논쟁하는 미미미누-서장훈 향한 이대 나온 트리플에스 김유연의 한방💥 | 아는 형님 | JTBC 241116 방송,아는형님 Knowingbros,게임
wqN1vLPX-no,TAEYEON 태연 'Letter To Myself' MV,SMTOWN,기타
ceGXF7zTk1Y,[SUB] ※새내기 필수 교양※ 술자리에서 살아남기  [차린건 쥐뿔도 없지만] EP.34 #이영지 #트와이스 #TXT,차린건 쥐뿔도 없지만,자동차/교통
F-AR90r43ws,영화보고 처음으로 울었다.. 진격의거인 완결편ㅇㅅㅇ,아이자와 유우키,엔터테인먼트
8h-tLI-d-00,울컥💦 딩크족 아내의 혼외자를 알게 된 남편 김원해의 반응!?!｜정숙한 세일즈｜JTBC 241116 방송 외,DRAMA Voyage,엔터테인먼트
6f8Pd_RtDvM,그림도 글도 배운 적이 없는데 어떻게 그런 걸 만들어내....?,요정재형,기타
KREKSUPia3k,NewJeans (뉴진스) KGMA 2024 Dance Practice,NewJeans,기타
78j_3VkLGMs,"(SUB) [전지적 할부지 시점] ep.199 ""할부지 이것 뭐에요~???"" 할부지표 당근을 처음 맛보는 루이후이의 반응🥕 러아커플의 메디컬 트레이닝까지!│ Panda World",말하는동물원 뿌빠TV,기타
gA2kzYvLvr8,[2026 FIFA 북중미 월드컵 아시아 3차 예선] 쿠웨이트 vs 대한민국 10분 하이라이트,쿠팡플레이 스포츠,자동차/교통
SDG2cdAesJY,남자들은 왜 그럴까,띱 Deep,스포츠
ODlQNj9J-Nc,"🐺 : 너...설마 임포스터 아니지? 🐐 : 일이나 해 | 구SKT 향우회 feat.지선님 , 구마유시 | 락다운 프로토콜",울프 이재완,게임
rO5HYXFbYJo,"뛰어드는 순간, 레전드 상황 발생 (with 랄로) | 배틀그라운드",배틀그라운드 – PUBG: BATTLEGROUNDS Korea,게임
P9VPs6SPCC8,우정의 익힘 정도는 825% | 🌈RAINBOW DREAM STAY EP.1,NCT DREAM,기타
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,ESPN,기타
NFY8BD0f3EI,고장난 택시와 이상한 택시기사 그리고 1박 2일 - 타지키스탄(3),곽튜브,자동차/교통
e3ADnNmgvAE,100일 아기 돌보는 따냐의 주말 일상,한국사는따냐 Tanya in Korea,기타
Sg3X8hXq2ps,[SUB] “내가 이래서 회의 안 들어가” 집단적 독백이 난무하는 NCT DREAM의 하루💬 | 아이돌 인간극장,아이돌 인간극장,교육
rdv0DjjgX5A,출제자 의도 파악,너덜트,교육
f0lKR_4TU5s,7일 동안 100km를 달리면 생기는 일,고재영,기타
ZEqm55mvNE4,What's in My Carrier🧳 SungJJIN's REALLYx30 Real Favorites Revealed😮 [Park SungJJIN S2 EP.33],박성찐이야,자동차/교통
VxXjPZtx0eo,"올해의 아파트 l ""인생의 마지막집이라는 생각으로 인테리어했어요"" l 잠실 아파트 매매",유부남,기타
Y23tMDMT0uU,24시간동안 맛있게 VS 맛없게!! 짜장면을 가장 맛없게 먹는 방법은 무엇일까?!,파뿌리,기타
mMuRgaV9wOM,"53세 션이 10대 혈관을 유지할 수 있었던 이유 (식단 공개, 운동루틴)",션과 함께,기타
o6oTVfo2aTo,차일 조짐,짧은대본 ShortPaper,자동차/교통
DDjCM9pBAXQ,네 마음이 내 마음이야..♡ #런닝맨,스브스 예능맛집,기타
4RDfTYhvpiE,izna 'IZNA' MV Teaser 1,izna (이즈나),기타
XMyA5YUwyGk,"""자식 사랑은 짝사랑 외사랑이야.."" 19년 만에 영덕에서 처음 만난 박원숙의 손녀.. | KBS 2024.11.14",KBS 같이삽시다,교육
RWf25nVfBlw,[아이유의 팔레트🎨] 수고했다 참 (With 윤하) Ep.29,이지금 [IU Official],기타
zPwPmAhBhcQ,[ENG]미미미누가 제안하는 초고속 이별 데이트 코스! (w.채영) | 터트립3 EP.1,LG Uplus,자동차/교통
_bbUErbAaP0,'발롱도르' 로드리의 사생활이 주목받는 이유,김진짜 Real KIM,기타
L6MsxmCSZlo,대혼란의 서막 (feat.90도 인사) | 나연 VS TXT 휴닝카이 [트릭KODE],KODE 코드,게임
TddExDJFDDI,도미니카공화국 vs 대한민국 하이라이트 [오프닝 라운드 B조],SPOTV,기타
xqwjSSd5Ss0,"지난 4개월 동안 수백 번 상상했던 이 순간...💭 무소단, 해냈습니다. #무쇠소녀단 EP.11 | tvN 241116 방송",tvN,기타
BzFvBIqKBHc,"[#이토록친밀한배신자] 최종회 요약본 | 네 명의 죽음에 얽힌 단 한 사람! 결정적 증거? ＂엄마, 아빠가 죽인 거야＂ 한석규와 채원빈은 가까워질 수 있을까? MBC241115방송",MBCdrama,교육
9hiwKJTG5Wo,결혼 안하는 이유. 아니 못하... 아니 안ㅎㅏㄴ..,걍밍경,기타
T-rlnOyamIA,수능 잘 보고 왔습니다 (고3 마이린의 2025 대입 수능 후기 썰) 마이린 TV,마이린 TV,기타
dV40PafQd3k,[VLOG] 눈물 바다 태요미네 동동이 탄생 브이로그 👼🏻 [EN/JP],태요미네,기타
fzk0c0mag9M,불닭소스 2Kg으로 삼겹살 끓이기,먹어볼래TryToEat,기타
jcWLcBbeuyo,"박진영 (J.Y. Park) ""Easy Lover (아니라고 말해줘)"" Song Challenge by 정동원",J.Y. Park,기타
6J3NSR4HLN0,지갑에 구멍이 뚫려버린 40대 부부의 캠핑카 치료일지 - 🇹🇷튀르키예[09],민지영TV MJYTV,기타
vmJuVpZveMs,[UFC] 찰스 올리베이라 vs 마이클 챈들러,tvN SPORTS,기타
BrUFzZ8J-rs,[OOO 여행 브이로그 ep.0] 당연히 싱가폴을 갈 거라고 생각했다면 경기도 오산입니다,햇도시락HDSR,스포츠
tIZsI2jyRjQ,"손흥민, 토트넘 떠나면 어디로 갈까?",김진짜 Real KIM,기타
t-H5YknYfuc,"모델 하다가 현피 뜨는 아이돌ㅣ워크돌ㅣ프로미스나인 백지헌, 박지원",워크맨-Workman,기타
1QspUdYkWuk,"""당신과의 시간이 더 길면 좋을텐데!""라고 아리아나 그란데와 신시아 에리보가 말했습니다 (feat. 위키드 인터뷰)",천재이승국 GeniusSKLee,기타
5OflOlcHLb8,ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV,KQ ENTERTAINMENT,기타
NAEduB1NUEQ,이삿날 짜장면 먹방,소맥거핀,기타
rQ-uBe9On0E,(감동 주의😥) 아들을 찾은 김성령에게 건넨 김원해의 따듯한 한마디 | 정숙한 세일즈 12회 | JTBC 241117 방송,JTBC Drama,게임
XD2LlSB3LRE,5분만 참으면 젤리가 하나 더! 이정현 딸 서아는 최애 젤리를 눈 앞에 두고 기다릴 수 있을까? [신상출시 편스토랑/Fun-Staurant] | KBS 241115 방송,KBS Entertain,교육
HRCQ9ZEWfYE,"풍자x엄지윤과 함께하는 한혜진의 골때리는 홍천 김장❤️(나래야 보고 싶다..^^)｜김장 김치, 수육, 라면 먹방, 홍천 별장, 내편하자",한혜진 Han Hye Jin,기타
Kydi10XfizI,고3 아이 수능 시험 보는 날 (내년에는 안 보겠죠) 고3 수험생 엄마의 수능 당일 아침 일상 브이로그 | 마이맘 TV,마이맘 TV,기타
m6N6jOt7heY,비비 (BIBI) - 데레 (Derre) Official M/V,BIBI,기타
nrSkCdgK7gw,"일본에 사는 친형 집에 간 노홍철 (글램핑,사우나)",노홍철,기타
GCKSrC6XVOk,윤하(YOUNHA) - 포인트 니모 M/V,YOUNHA OFFICIAL,기타
YFIk2-Xx8gI,언제까지 카야라니 생일주간을 챙겨줘야 할까요?,카야라니 [KaiaLani],기타
wJntHH3GLo4,한국 맛집을 처음 가본 처갓집 가족들 반응 😂 한국의 밤 거리가 신기한 필리핀 가족들,조와부부 필리핀 JOWATV,기타
t1jU35Xwi3Y,CLASS:y(클라씨) “Psycho and Beautiful“ M/V,CLASS:y(클라씨),기타
b_IzpEJObZQ,[VLOG] 돌아온 아빠랑 태하랑 브이로그 🪽 (엄마랑 예린이는 조리원행〰️),태요미네,기타
S0-mMeAErIM,"(ENG) 이시언 | “오빠가 이래서 우리가 손절설이 돌잖아...!!” | 손절설 해명, 결혼 조언 그리고 기안84 [나래식] EP.09",나래식,기타
y2nYpmU5gh0,재쓰비(JAESSBEE) - '너와의 모든 지금' @JAESSBEE 1st Fan Concert 20241115,MMTG 문명특급,교육
dC-cmUc2nLE,판매 10분만에 매진. 삼성 갤럭시 Z 폴드 SE ... 일주일 사용한 소감은?,ITSub잇섭,게임
1Xkec9aIsxs,[농부왕 기안84] 기다리고 기다리던 농부왕 米! 출고,농협 공식 유튜브 채널,기타
jRFvRd6Idy8,"손흥민, ""황인범 지단인 줄 알았어요"" (feat.쿠웨이트전  승리 뒷이야기) | 월드컵 3차 예선 EP.18",KFATV 대한민국 축구 국가대표팀,스포츠
ckAdx1JfoTQ,[모아나 2] '저 너머로' (Beyond) MV 티저,Disney Korea,자동차/교통
So7-M01JDoM,[아형✪하이라이트] ★예비 수험생 필수 강의☆ 못하는 게 없는 카이스트생 허성범.. 사람의 한계를 뛰어넘은(?) AI 암기법🌟 | 아는 형님 | JTBC 241116 방송,아는형님 Knowingbros,게임
Lv2ehiy6M24,MEOVV - ‘TOXIC’ M/V TEASER,THEBLACKLABEL,기타
BhZxKhiu_N8,"[나 혼자 산다 선공개] 전현무 눈 앞에 펼쳐진 임금님 수라상?! 정지선 셰프가 준비한 정성 가득 한식 생일상🎂, MBC 241115 방송",나혼자산다 STUDIO,교육
ek1xemn5PMM,[sub] 리나에게 헤어밴드까지 빌려서 완성한 카리나 메이크업💄 Whiplash~ l 혜메코 ep3 카리나 메이크업,혜리,기타
IXvq47PPQwE,고기는 다 비슷하다던 마케도니아 처남의 인생 고기를 찾았습니다 갈비를 처음 먹어본 마케도니아 처남과 장인어른 반응?! (한국여행),NB couple엔비커플,기타
650K75tw3cQ,[GOING SEVENTEEN] EP.119 고잉 제작기 (GOING PRODUCTION),SEVENTEEN,기타
AkMpuT9S0YI,육회그릇 1200g에 노른자 비비기,먹어볼래TryToEat,기타
XV0lSvr0huU,재쓰비 (JAESSBEE) - ‘너와의 모든 지금’ Official MV,MMTG 문명특급,교육
SqbR7P5Bt7E,[스테파] 최호종(Choi Ho Jong) · 영원한 악몽 메인 주역 | 스테이지 초이스 by PUBLIC 미션 솔로캠 무대 투표,The CHOOM (더 춤),기타
Wd6nS3hr8e4,침착맨 기안84 인생 컨설팅,인생84,기타
IRQR5foSUSI,Yunchan Lim: Tiny Desk Concert,NPR Music,기타
Ncc5_TUquB0,그녀의 모든 말이 절 긴장시키네요. 설렘 가득한 주병진의 두 번째 맞선~ #highlight #이젠사랑할수있을까 EP.2,tvN STORY 티비엔 스토리,기타
1US8DSkxLTU,가을 날씨를 처음 경험해 본 필리핀 장인장모님과 처남 😂 한국의 모든것이 신기하다는 가족들,조와부부 필리핀 JOWATV,기타
6wYQxhk-084,언니 몰래 야식 먹방,나는 마루,기타
